,polarity,tweet
0,0.1,Russia approves a Vector Institute vaccine for early use before Phase 3 testing Oct 14 A vaccine by the R
1,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
2,-0.16666666666666666,Out via NEJM Trustworthiness before Trust Covid19Vaccine Trials and the Black Community
3,0.16363636363636364,So let me be clear assuming positive data Pfizer will apply for Emergency Authorization Use in the US soon aft
4,0.9,RT PittTweet In honor of this mornings COVID19Vaccine panel heres a TBT to the 1950s and Jonas Salks incredible work developing a p
5,0.3181818181818182,Read our new article in PharmaCommerce which identifies many of the challenges COVID19 preparedness teams have so
6,0.6000000000000001,RT MarchOfDimesNY In case you missed it please join MarchofDimes PittTweet amp salkfoundationfor a WilsonMHI amazing expert panel d
7,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
8,0.0,ICYMI GovParsonMO announced the state of Missouri has submitted to federal officials a plan for how it will admi
9,-0.0625,UAEs Minister of Foreign Affairs and International Cooperation HH Sheikh Abdullah bin Zayed Al Nahyan has received
10,0.13636363636363635,RT newsghana Travel Australia COVID19vaccine Australia opens quarantinefree travel bubble with New Zealand h
11,0.13636363636363635,RT newsghana Travel Australia COVID19vaccine Australia opens quarantinefree travel bubble with New Zealand h
12,0.13636363636363635,Travel Australia COVID19vaccine Australia opens quarantinefree travel bubble with New Zealand
13,0.6000000000000001,RT MarchOfDimesNY In case you missed it please join MarchofDimes PittTweet amp salkfoundationfor a WilsonMHI amazing expert panel d
14,0.6000000000000001,In case you missed it please join MarchofDimes PittTweet amp salkfoundationfor a WilsonMHI amazing expert pan
15,0.0,India may get COVID19 vaccine by March 2021 Serum Institute of IndiaSerum coronavirus COVID19
16,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
17,-0.3,COVID19vaccine hopes pfizer may ask for emergency approval in late November National
18,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
19,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
20,0.0,Chinese Covid19 vaccine candidate BBIBPCorV that is expected to completely inactivate the SARSCoV2 virus i
21,0.3,RT MumbaiMirror Young healthy people may not get COVID19vaccine until 2022 WHO chief scientist Soumya Swaminathan Replug
22,-0.07142857142857142,Why do people trust conventional doctors who spout utter garbage Ellie Cannon DrEllie who thinks she is A tr
23,0.0,RT BusyDrT Biden urges state local leaders to mandate COVID19vaccine
24,0.0,RT ndtv Pfizer Sees Emergency Use Filing For COVID19Vaccine After US Election
25,0.0,COVID19 The Search for a Vaccine Hear Neil McNeil in conversation with ImproveWell cofounder DrNaeemAhmed Ka
